Clave	State	Municiplaity	Date 1	Date 2	Date 3
32051	Zacatecas	Villa de Cos	7	May	2008
32010	Zacatecas	Fresnillo	7	Feb	2009
32047	Zacatecas	Teul de González Ortega	27	Nov	2009
32046	Zacatecas	Tepetongo	17	Nov	2010
30123	Veracruz	Pánuco	29	Aug	2010
28038	Tamaulipas	Tampico	5	Oct	2007
28033	Tamaulipas	Río Bravo	7	Jan	2008
28032	Tamaulipas	Reynosa	17	Feb	2009
28022	Tamaulipas	Matamoros	20	Mar	2010
28025	Tamaulipas	Miguel Alemán	17	Jun	2010
28022	Tamaulipas	Matamoros	26	Jun	2010
28027	Tamaulipas	Nuevo Laredo	16	Jul	2010
28024	Tamaulipas	Ciudad Mier	15	Sep	2010
28015	Tamaulipas	Díaz Ordaz	26	Sep	2010
28014	Tamaulipas	Nueva Ciudad Guerrero	17	Nov	2010
26043	Sonora	Nogales	23	Oct	2008
25017	Sinaloa	Sinaloa	1	Jun	2007
25003	Sinaloa	Badiraguato	26	Mar	2008
25003	Sinaloa	Badiraguato	7	Aug	2009
19026	Nuevo León	Guadalupe	14	Jul	2009
19025	Nuevo León	General Zuazua	17	Dec	2009
19008	Nuevo León	Bustamante	15	Mar	2010
19048	Nuevo León	Santa Catarina	28	Mar	2010
19031	Nuevo León	Benito Juárez	27	Aug	2010
19031	Nuevo León	Benito Juárez	3	Sep	2010
19035	Nuevo León	Melchor Ocampo	26	Sep	2010
18017	Nayarit	Tepic	18	Jun	2010
18010	Nayarit	Rosamorada	3	Aug	2010
18017	Nayarit	Tepic	21	Nov	2010
18017	Nayarit	Tepic	21	Nov	2010
16006	Michoacán	Apatzingán	7	May	2007
16069	Michoacán	La Piedad	7	Jan	2010
16014	Michoacán	Coahuayana	27	Sep	2010
12001	Guerrero 	Acapulco	6	Jun	2009
12055	Guerrero 	Taxco	15	Jun	2010
12007	Guerrero	Arcelia	7	Dec	2008
12058	Guerrero	Teloloapan	20	Dec	2008
12054	Guerrero	San Miguel Tololoapan	15	Apr	2009
12003	Guerrero	Ajuchitlán del Progreso	13	Mar	2010
11007	Guanajuato	Celaya	11	Mar	2009
10023	Durango	Pueblo Nuevo	2	Jul	2009
10032	Durango	Santiago Papasquiaro	12	Aug	2010
8019	Chihuahua	Chihuahua	7	Mar	2008
8037	Chihuahua	Juárez	10	Feb	2009
8040	Chihuahua	Cable de la Simona, Madera	21	Jul	2010
2004	Baja Clifornia	Tijuana	15	Oct	2008
1007	Aguascalientes	Rincón de Romos	14	Aug	2008
