Clave	Nombre	1990	Homicidio	Operaciones legales y de guerra	1991	Homicidio2	Operaciones legales y de guerra 2	1992	Homicidio3	Operaciones legales y de guerra 3	1993	Homicidio4	Operaciones legales y de guerra 4	1994	Homicidio5	Operaciones legales y de guerra 5	1995	Homicidio6	Operaciones legales y de guerra 6	1996	Homicidio7	Operaciones legales y de guerra 7	1997	Homicidio8	Operaciones legales y de guerra 8	1998	Homicidio9	Operaciones legales y de guerra 9	1999	Homicidio10	Operaciones legales y de guerra 10	2000	Homicidio11	Operaciones legales y de guerra 11	2001	Homicidio12	Operaciones legales y de guerra 12	2002	Homicidio13	Operaciones legales y de guerra 13	2003	Homicidio14	Operaciones legales y de guerra 14	2004	Homicidio15	Operaciones legales y de guerra 15	2005	Homicidio16	Operaciones legales y de guerra 16	2006	Homicidio17	Operaciones legales y de guerra 17	2007	Homicidio18	Operaciones legales y de guerra 18	Criminal Rivalry Deaths	2008	Homicidio19	Operaciones legales y de guerra 19	Criminal Rivalry Deaths 2	2009	Homicidio20	Operaciones legales y de guerra 20	Criminal Rivalry Deaths 3	2010	Homicidio21	Criminal Rivalry Deaths 4
01001	Aguascalientes	308	33	0	361	34	0	302	23	0	284	24	0	317	24	0	269	30	0	257	22	0	250	19	0	239	24	0	277	15	0	282	13	0	280	17	0	348	23	0	320	13	0	319	14	0	341	16	1	329	19	0	338	36	0	1	343	47	0	0	359	47	0	0	359	67	0
01002	Asientos	22	1	0	24	4	0	24	5	0	13	3	0	17	1	0	20	2	0	16	0	0	21	0	0	11	1	0	24	2	0	19	2	0	16	3	0	15	0	0	21	1	0	13	0	0	28	3	0	13	2	0	19	0	0	0	22	3	0	1	17	1	1	0	25	0	0
01003	Calvillo	32	6	0	39	2	0	20	3	0	22	0	0	37	0	0	33	2	0	23	0	0	21	0	0	25	0	0	23	1	0	26	1	0	22	2	0	29	0	0	34	1	0	32	1	0	20	2	0	15	0	0	27	0	0	0	34	0	0	0	22	0	0	0	33	2	3
01004	CosÌÎo	6	0	0	7	0	0	5	0	0	10	0	0	7	0	0	6	0	0	8	1	0	14	2	0	7	0	0	8	0	0	4	0	0	11	0	0	10	1	0	7	1	0	4	0	0	4	0	0	11	0	0	7	1	0	4	11	0	0	7	4	1	0	5	9	2	0
01005	Jesèªs MarÌÎa	30	2	0	20	1	0	31	2	0	23	2	0	18	1	0	21	0	0	20	1	0	35	3	0	20	2	0	23	0	0	27	1	0	25	0	0	24	0	0	28	0	0	32	1	0	32	4	0	36	3	0	32	1	0	3	33	4	0	0	40	10	0	1	40	2	1
01006	PabellÌ_n de Arteaga	10	1	0	10	2	0	15	1	0	16	0	0	22	1	0	9	1	0	20	1	0	12	0	0	20	4	0	17	1	0	16	1	0	10	0	0	15	1	0	26	4	0	14	1	0	17	0	0	16	1	0	18	1	0	0	16	3	0	3	24	2	0	1	28	3	2
01007	RincÌ_n de Romos	19	1	0	22	2	0	22	2	0	24	2	0	12	1	0	27	1	0	19	1	0	24	1	0	24	4	0	28	2	0	14	1	0	18	2	0	35	1	0	30	2	0	22	1	0	14	0	0	26	0	0	17	4	0	0	31	3	0	0	30	4	0	0	19	2	1
01008	San JosÌö de Gracia	6	1	0	8	0	0	1	0	0	4	0	0	4	0	0	4	0	0	3	0	0	4	0	0	2	0	0	7	0	0	4	0	0	2	0	0	3	0	0	1	0	0	3	1	0	5	1	0	3	0	0	7	0	0	0	2	0	0	0	1	0	0	0	4	1	1
01009	Tepezalåá	8	0	0	8	1	0	7	0	0	4	0	0	6	1	0	8	1	0	5	0	0	12	0	0	9	2	0	6	0	0	10	1	0	7	0	0	10	0	0	14	0	0	10	0	0	11	0	0	5	0	0	11	1	0	1	6	1	0	0	8	0	0	2	12	1	1
01010	El Llano	0	0	0	0	0	0	0	0	0	6	2	0	8	0	0	6	0	0	8	1	0	4	0	0	8	2	0	6	0	0	7	1	0	5	1	0	6	1	0	5	2	0	7	0	0	8	0	0	5	1	0	13	0	0	3	4	0	0	0	13	1	0	0	23	2	0
