Clave	Column	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
01001	Aguascalientes	506274	521584.6	536895.2	552205.8	567516.4	582827	594945.4	607063.8	619182.2	631300.6	643419	659343.8	675268.6	691193.4	707118.2	723043	737836.4	752629.8	767423.2	782216.6	797010
01002	Asientos	32225	32932.4	33639.8	34347.2	35054.6	35762	36162.2	36562.4	36962.6	37362.8	37763	38319.8	38876.6	39433.4	39990.2	40547	41536	42525	43514	44503	45492
01003	Calvillo	48440	49083.6	49727.2	50370.8	51014.4	51658	51584.6	51511.2	51437.8	51364.4	51291	51069.4	50847.8	50626.2	50404.6	50183	50973.6	51764.2	52554.8	53345.4	54136
01004	Cosío	10247	10624.8	11002.6	11380.4	11758.2	12136	12232.6	12329.2	12425.8	12522.4	12619	12832.6	13046.2	13259.8	13473.4	13687	13958	14229	14500	14771	15042
01005	Jesús María	41092	43768.8	46445.6	49122.4	51799.2	54476	56400.2	58324.4	60248.6	62172.8	64097	67802.2	71507.4	75212.6	78917.8	82623	86016.4	89409.8	92803.2	96196.6	99590
01006	Pabellón de Arteaga	26051	27170.8	28290.6	29410.4	30530.2	31650	32179.2	32708.4	33237.6	33766.8	34296	35219.2	36142.4	37065.6	37988.8	38912	39502	40092	40682	41272	41862
01007	Rincón de Romos	33781	34775.2	35769.4	36763.6	37757.8	38752	39332.6	39913.2	40493.8	41074.4	41655	42418.2	43181.4	43944.6	44707.8	45471	46208	46945	47682	48419	49156
01008	San José de Gracia	6740	6826	6912	6998	7084	7170	7184.8	7199.6	7214.4	7229.2	7244	7321.4	7398.8	7476.2	7553.6	7631	7793.4	7955.8	8118.2	8280.6	8443
01009	Tepezalá	14809	15082.2	15355.4	15628.6	15901.8	16175	16241.6	16308.2	16374.8	16441.4	16508	16680.8	16853.6	17026.4	17199.2	17372	17831.2	18290.4	18749.6	19208.8	19668
01010	El Llano	0	2855.6	5711.2	8566.8	11422.4	14278	14487.8	14697.6	14907.4	15117.2	15327	15684.6	16042.2	16399.8	16757.4	17115	17457.6	17800.2	18142.8	18485.4	18828
01011	San Francisco de los Romo	0	3567.2	7134.4	10701.6	14268.8	17836	18282	18728	19174	19620	20066	21819.2	23572.4	25325.6	27078.8	28832	30219.4	31606.8	32994.2	34381.6	35769
02001	Ensenada	259979	271041	282103	293165	304227	315289	326377.2	337465.4	348553.6	359641.8	370730	379280.2	387830.4	396380.6	404930.8	413481	424147.6	434814.2	445480.8	456147.4	466814
02002	Mexicali	601938	620757.2	639576.4	658395.6	677214.8	696034	709747.6	723461.2	737174.8	750888.4	764602	782874	801146	819418	837690	855962	872134.8	888307.6	904480.4	920653.2	936826
02003	Tecate	51557	53771.4	55985.8	58200.2	60414.6	62629	65662.2	68695.4	71728.6	74761.8	77795	80442.8	83090.6	85738.4	88386.2	91034	93043	95052	97061	99070	101079
02004	Tijuana	747381	796223.2	845065.4	893907.6	942749.8	991592	1035437.6	1079283.2	1123128.8	1166974.4	1210820	1250793.4	1290766.8	1330740.2	1370713.6	1410687	1440486.2	1470285.4	1500084.6	1529883.8	1559683
02005	Playas de Rosarito	0	9319.2	18638.4	27957.6	37276.8	46596	49960.8	53325.6	56690.4	60055.2	63420	65397	67374	69351	71328	73305	76777.6	80250.2	83722.8	87195.4	90668
03001	Comondú	74346	72696	71046	69396	67746	66096	65649.6	65203.2	64756.8	64310.4	63864	63857.2	63850.4	63843.6	63836.8	63830	65227.2	66624.4	68021.6	69418.8	70816
03002	Mulegé	38528	40015	41502	42989	44476	45963	45968.2	45973.4	45978.6	45983.8	45989	47339.8	48690.6	50041.4	51392.2	52743	54017.2	55291.4	56565.6	57839.8	59114
03003	La Paz	160970	165259.6	169549.2	173838.8	178128.4	182418	185315.8	188213.6	191111.4	194009.2	196907	201444.8	205982.6	210520.4	215058.2	219596	226051	232506	238961	245416	251871
03008	Los Cabos	43920	49342.2	54764.4	60186.6	65608.8	71031	77918.6	84806.2	91693.8	98581.4	105469	117207.6	128946.2	140684.8	152423.4	164162	179027	193892	208757	223622	238487
03009	Loreto	0	1997.2	3994.4	5991.6	7988.8	9986	10351.2	10716.4	11081.6	11446.8	11812	11817.4	11822.8	11828.2	11833.6	11839	12818.8	13798.6	14778.4	15758.2	16738
04001	Calkiní	38883	39866.2	40849.4	41832.6	42815.8	43799	44419	45039	45659	46279	46899	47489.2	48079.4	48669.6	49259.8	49850	50458	51066	51674	52282	52890
04002	Campeche	173645	179822.6	186000.2	192177.8	198355.4	204533	207005.8	209478.6	211951.4	214424.2	216897	221287.6	225678.2	230068.8	234459.4	238850	242881	246912	250943	254974	259005
04003	Carmen	136034	144765.2	153496.4	162227.6	170958.8	179690	178167.2	176644.4	175121.6	173598.8	172076	177658.4	183240.8	188823.2	194405.6	199988	204209.2	208430.4	212651.6	216872.8	221094
04004	Champotón	71836	73482	75128	76774	78420	80066	78163.6	76261.2	74358.8	72456.4	70554	71666.4	72778.8	73891.2	75003.6	76116	77497	78878	80259	81640	83021
04005	Hecelchakán	20290	20915.4	21540.8	22166.2	22791.6	23417	23711.4	24005.8	24300.2	24594.6	24889	25305.8	25722.6	26139.4	26556.2	26973	27239.6	27506.2	27772.8	28039.4	28306
04006	Hopelchén	36271	37365.8	38460.6	39555.4	40650.2	41745	39638.8	37532.6	35426.4	33320.2	31214	31908.6	32603.2	33297.8	33992.4	34687	35305	35923	36541	37159	37777
04007	Palizada	7162	7310.2	7458.4	7606.6	7754.8	7903	8002.6	8102.2	8201.8	8301.4	8401	8378.8	8356.6	8334.4	8312.2	8290	8302.4	8314.8	8327.2	8339.6	8352
04008	Tenabo	6568	6780.4	6992.8	7205.2	7417.6	7630	7784	7938	8092	8246	8400	8530	8660	8790	8920	9050	9187.2	9324.4	9461.6	9598.8	9736
04009	Escárcega	44496	46343.4	48190.8	50038.2	51885.6	53733	53099	52465	51831	51197	50563	50471.6	50380.2	50288.8	50197.4	50106	50921.6	51737.2	52552.8	53368.4	54184
04010	Calakmul	0	0	0	0	0	0	4623	9246	13869	18492	23115	23254.8	23394.6	23534.4	23674.2	23814	24427.6	25041.2	25654.8	26268.4	26882
04011	Candelaria	0	0	0	0	0	0	7536.2	15072.4	22608.6	30144.8	37681	37546	37411	37276	37141	37006	37843.6	38681.2	39518.8	40356.4	41194
05001	Abasolo	1409	1385.2	1361.4	1337.6	1313.8	1290	1257.2	1224.4	1191.6	1158.8	1126	1099	1072	1045	1018	991	1006.8	1022.6	1038.4	1054.2	1070
05002	Acuña	56336	61389.2	66442.4	71495.6	76548.8	81602	87379	93156	98933	104710	110487	113637.2	116787.4	119937.6	123087.8	126238	128341.4	130444.8	132548.2	134651.6	136755
05003	Allende	18486	18772.2	19058.4	19344.6	19630.8	19917	20122.2	20327.4	20532.6	20737.8	20943	20785	20627	20469	20311	20153	20657.4	21161.8	21666.2	22170.6	22675
05004	Arteaga	17414	17712.6	18011.2	18309.8	18608.4	18907	19000.4	19093.8	19187.2	19280.6	19374	19423.6	19473.2	19522.8	19572.4	19622	20206.4	20790.8	21375.2	21959.6	22544
05005	Candela	1888	1853	1818	1783	1748	1713	1705.8	1698.6	1691.4	1684.2	1677	1676	1675	1674	1673	1672	1699.2	1726.4	1753.6	1780.8	1808
05006	Castaños	21356	21469.6	21583.2	21696.8	21810.4	21924	22045.2	22166.4	22287.6	22408.8	22530	22798.2	23066.4	23334.6	23602.8	23871	24275.2	24679.4	25083.6	25487.8	25892
05007	Cuatro Ciénegas	12302	12421.4	12540.8	12660.2	12779.6	12899	12750	12601	12452	12303	12154	12167.2	12180.4	12193.6	12206.8	12220	12378.6	12537.2	12695.8	12854.4	13013
05008	Escobedo	2966	2941.4	2916.8	2892.2	2867.6	2843	2831.2	2819.4	2807.6	2795.8	2784	2782.8	2781.6	2780.4	2779.2	2778	2802.6	2827.2	2851.8	2876.4	2901
05009	Francisco I. Madero	50981	50286.8	49592.6	48898.4	48204.2	47510	47298.4	47086.8	46875.2	46663.6	46452	47467.2	48482.4	49497.6	50512.8	51528	52357.6	53187.2	54016.8	54846.4	55676
05010	Frontera	61450	61929.4	62408.8	62888.2	63367.6	63847	64393.4	64939.8	65486.2	66032.6	66579	67295.2	68011.4	68727.6	69443.8	70160	71171	72182	73193	74204	75215
05011	General Cepeda	11966	11955.4	11944.8	11934.2	11923.6	11913	11793.6	11674.2	11554.8	11435.4	11316	11309.6	11303.2	11296.8	11290.4	11284	11363.6	11443.2	11522.8	11602.4	11682
05012	Guerrero	2374	2328	2282	2236	2190	2144	2125.2	2106.4	2087.6	2068.8	2050	2015.4	1980.8	1946.2	1911.6	1877	1919.8	1962.6	2005.4	2048.2	2091
05013	Hidalgo	1220	1230.2	1240.4	1250.6	1260.8	1271	1305	1339	1373	1407	1441	1456	1471	1486	1501	1516	1583.2	1650.4	1717.6	1784.8	1852
05014	Jiménez	8253	8468	8683	8898	9113	9328	9407.2	9486.4	9565.6	9644.8	9724	9732.8	9741.6	9750.4	9759.2	9768	9801.4	9834.8	9868.2	9901.6	9935
05015	Juárez	1668	1652	1636	1620	1604	1588	1592.4	1596.8	1601.2	1605.6	1610	1566.6	1523.2	1479.8	1436.4	1393	1434.2	1475.4	1516.6	1557.8	1599
05016	Lamadrid	2006	1971.2	1936.4	1901.6	1866.8	1832	1821.8	1811.6	1801.4	1791.2	1781	1766.4	1751.8	1737.2	1722.6	1708	1733.4	1758.8	1784.2	1809.6	1835
05017	Matamoros	86398	86765.4	87132.8	87500.2	87867.6	88235	88993.8	89752.6	90511.4	91270.2	92029	93564.6	95100.2	96635.8	98171.4	99707	101197.6	102688.2	104178.8	105669.4	107160
05018	Monclova	178606	180832.4	183058.8	185285.2	187511.6	189738	190539.2	191340.4	192141.6	192942.8	193744	195027.2	196310.4	197593.6	198876.8	200160	203369.2	206578.4	209787.6	212996.8	216206
05019	Morelos	6647	6646	6645	6644	6643	6642	6766.2	6890.4	7014.6	7138.8	7263	7254.6	7246.2	7237.8	7229.4	7221	7418.2	7615.4	7812.6	8009.8	8207
05020	Múzquiz	65863	65288.4	64713.8	64139.2	63564.6	62990	62946.6	62903.2	62859.8	62816.4	62773	62760.4	62747.8	62735.2	62722.6	62710	63534.8	64359.6	65184.4	66009.2	66834
