Clave	Column	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
1	Aguascalientes	719659	748271.2	776883.4	805495.6	834107.8	862720	879033	895346	911659	927972	944285	968511.2	992737.4	1016963.6	1041189.8	1065416	1089332	1113248	1137164	1161080	1184996
2	Baja California	1660855	1751112	1841369	1931626	2021883	2112140	2187185.4	2262230.8	2337276.2	2412321.6	2487367	2558787.4	2630207.8	2701628.2	2773048.6	2844469	2906589.2	2968709.4	3030829.6	3092949.8	3155070
3	Baja California Sur	317764	329310	340856	352402	363948	375494	385203.4	394912.8	404622.2	414331.6	424041	441666.8	459292.6	476918.4	494544.2	512170	537141.2	562112.4	587083.6	612054.8	637026
4	Campeche	535185	556651.2	578117.4	599583.6	621049.8	642516	652150.6	661785.2	671419.8	681054.4	690689	703497.2	716305.4	729113.6	741921.8	754730	768272.2	781814.4	795356.6	808898.8	822441
5	Coahuila de Zaragoza	1972340	2012627	2052914	2093201	2133488	2173775	2198634	2223493	2248352	2273211	2298070	2337496	2376922	2416348	2455774	2495200	2545838.2	2596476.4	2647114.6	2697752.8	2748391
6	Colima	428510	440413.6	452317.2	464220.8	476124.4	488028	498947.8	509867.6	520787.4	531707.2	542627	547700.8	552774.6	557848.4	562922.2	567996	584507.8	601019.6	617531.4	634043.2	650555
7	Chiapas	3210496	3285354	3360212	3435070	3509928	3584786	3652007.2	3719228.4	3786449.6	3853670.8	3920892	3995405.4	4069918.8	4144432.2	4218945.6	4293459	4394083.2	4494707.4	4595331.6	4695955.8	4796580
8	Chihuahua	2441873	2512205.8	2582538.6	2652871.4	2723204.2	2793537	2845411	2897285	2949159	3001033	3052907	3090614.4	3128321.8	3166029.2	3203736.6	3241444	3274448.2	3307452.4	3340456.6	3373460.8	3406465
9	Distrito Federal	8235744	8286396.6	8337049.2	8387701.8	8438354.4	8489007	8512253.4	8535499.8	8558746.2	8581992.6	8605239	8628374.4	8651509.8	8674645.2	8697780.6	8720916	8746948.8	8772981.6	8799014.4	8825047.2	8851080
10	Durango	1349378	1365852	1382326	1398800	1415274	1431748	1435130.6	1438513.2	1441895.8	1445278.4	1448661	1460752.2	1472843.4	1484934.6	1497025.8	1509117	1533880.4	1558643.8	1583407.2	1608170.6	1632934
