Área Geográfica Clave	Nombre	Party previous before 2006	Party first in Calderon period	Party last in Calderon period	2007 Sketch Strafor Cartel	2010 Sketch Strafor Cartel	Intervention Indicator	Ingresos y Egresos Públicos (Pesos) 1990 Partida Egresos	Ingresos	1991 Partida Egresos	Ingresos2	1992 Partida Egresos	Ingresos3	1993 Partida Egresos	Ingresos4	1994 Partida Egresos	Ingresos5	1995 Partida Egresos	Ingresos6	1996 Partida Egresos	Ingresos7	1997 Partida Egresos	Ingresos8	1998 Partida Egresos	Ingresos9	1999 Partida Egresos	Ingresos10	2000 Partida Egresos	Ingresos11	2001 Partida Egresos	Ingresos12	2002 Partida Egresos	Ingresos13	2003 Partida Egresos	Ingresos14	2004 Partida Egresos	Ingresos15	2005 Partida Egresos	Ingresos16	2006 Partida Egresos	Ingresos17	2007 Partida Egresos	Ingresos18	2008 Partida Egresos	Ingresos19	2009 Partida Egresos	Ingresos20	2010 Partida Egresos	Ingresos21
1001	Aguascalientes	PAN	PRI	PRI	N	S	0	87210649	87210649	92990789	92990789	132368289	132368289	168572000	168572000	167020000	167020000	202580000	202580000	257575559	257575559	346563843	346563843	510385044	510385044	663435442	663435442	811872821	811872821	1010405686	1010405686	925895349	925895349	1180236364	1180236364	1199858349	1199858349	1522320071	1522320071	1738395172	1738395172	1785561921	1785561921	2201630291	2201630291	2075959176	2075959176	2149053031	2149053031
1002	Asientos	PAN	PRI	PRI	N	S	0	2665230	2665230	3960801	3960801	4419523	4419523	4550000	4550000	4819000	4819000	5570000	5570000	8260834	8260834	10656517	10656517	13411435	13411435	16992626	16992626	22259147	22259147	23746398	23746398	43811602	43811602	46216303	46216303	49679379	49679379	61009938	61009938	68123027	68123027	75538338	75538338	84995050	84995050	94315485	94315485	96751991	96751991
1003	Calvillo	PAN	PAN	PRI	N	S	0	4470271	4470271	8994656	8994656	7858760	7858760	7280645	7280645	9055080	9055080	10901532	10901532	17103725	17103725	22729563	22729563	58141506	58141506	56724064	56724064	54467534	54467534	65459352	65459352	65938810	65938810	71168179	71168179	80743262	80743262	87215190	87215190	122287130	122287130	128923929	128923929	147837652	147837652	137816761	137816761	166308622	166308622
1004	Cosío	PAN	PRI	PRI	N	S	0	1879005	1879005	2363776	2363776	2220453	2220453	2061592	2061592	2426311	2426311	3371976	3371976	3940552	3940552	6209683	6209683	7686292	7686292	8790950	8790950	10899852	10899852	17535563	17535563	19711785	19711785	20786751	20786751	23926517	23926517	35138832	35138832	40300477	40300477	29552207	29552207	52840444	52840444	49101247	49101247	53006802	53006802
1005	Jesús María	PAN	PRI	PRI	N	S	0	4200782	4200782	5376030	5376030	6907453	6907453	6689491	6689491	9077959	9077959	8994404	8994404	17623003	17623003	19907639	19907639	39483533	39483533	52418727	52418727	59224648	59224648	68204894	68204894	72351946	72351946	88312059	88312059	104779445	104779445	122139754	122139754	156526336	156526336	188154128	188154128	177310919	177310919	225656528	225656528	187658365	187658365
1006	Pabellón de Arteaga	PAN	PAN	PRI	N	S	0	3332901	3332901	4209226	4209226	5236570	5236570	4527088	4527088	5761620	5761620	6250395	6250395	9620943	9620943	13419528	13419528	15376295	15376295	18089108	18089108	23837242	23837242	40298066	40298066	42705553	42705553	43440388	43440388	49176027	49176027	57771069	57771069	79463403	79463403	77392605	77392605	97702829	97702829	101611354	101611354	103040295	103040295
1007	Rincón de Romos	PRI	Other	PRI	N	S	1	3342452	3342452	5696989	5696989	5853710	5853710	6042587	6042587	6941607	6941607	7359902	7359902	12027894	12027894	15738167	15738167	21851603	21851603	34494485	34494485	44329453	44329453	48976042	48976042	53655227	53655227	65226440	65226440	69476385	69476385	83044463	83044463	97885956	97885956	104077341	104077341	133376856	133376856	144688456	144688456	124785838	124785838
1008	San José de Gracia	PAN	PAN	PRI	N	S	0	1789635	1789635	2469562	2469562	2523258	2523258	1611043	1611043	1771364	1771364	2245032	2245032	3571843	3571843	4786070	4786070	6229049	6229049	12698430	12698430	12136727	12136727	11125497	11125497	14333492	14333492	18023455	18023455	18530011	18530011	26716971	26716971	29860314	29860314	29972730	29972730	51814829	51814829	60345849	60345849	62261447	62261447
1009	Tepezalá	PAN	PAN	PRI	N	S	0	1916670	1916670	2575978	2575978	2942782	2942782	2063365	2063365	2171421	2171421	2562311	2562311	4546811	4546811	6219217	6219217	13917456	13917456	20772904	20772904	19815756	19815756	20168324	20168324	23831695	23831695	24446658	24446658	26635821	26635821	32180594	32180594	39100131	39100131	44220596	44220596	59811280	59811280	73832425	73832425	67545432	67545432
1010	El Llano	PAN	PRI	PRI	N	S	0	0	0	0	0	0	0	2160304	2160304	2788175	2788175	3794122	3794122	5862428	5862428	7631814	7631814	15198039	15198039	20042570	20042570	18394091	18394091	21751693	21751693	26536319	26536319	24381623	24381623	28450176	28450176	37935345	37935345	38904928	38904928	40197461	40197461	52400260	52400260	59066576	59066576	58576851	58576851
