Clave	Nombre	 B2006	1A2006	2A2006	2007Cartel	2010Cartel	IngresosEgresos1990 Partida Egresos	Ingresos	1991 Partida Egresos	Ingresos2	1992 Partida Egresos	Ingresos3	1993 Partida Egresos	Ingresos4	1994 Partida Egresos	Ingresos5	1995 Partida Egresos	Ingresos6	1996 Partida Egresos	Ingresos7	1997 Partida Egresos	Ingresos8	1998 Partida Egresos	Ingresos9	1999 Partida Egresos	Ingresos10	2000 Partida Egresos	Ingresos11	2001 Partida Egresos	Ingresos12	2002 Partida Egresos	Ingresos13	2003 Partida Egresos	Ingresos14	2004 Partida Egresos	Ingresos15	2005 Partida Egresos	Ingresos16	2006 Partida Egresos	Ingresos17	2007 Partida Egresos	Ingresos18	2008 Partida Egresos	Ingresos19	2009 Partida Egresos	Ingresos20	2010 Partida Egresos	Ingresos21
1	Aguascalientes	2004	2007	2010	N	S	110807595	110807595	128637807	128637807	170330798	170330798	209194796	209194796	216684135	216684135	259538113	259538113	348181677	348181677	464687761	464687761	714698337	714698337	927533072	927533072	1106128198	1106128198	1365287658	1365287658	1323440064	1323440064	1629174273	1629174273	1705931572	1705931572	2125625470	2125625470	2485940030	2485940030	2578819504	2578819504	3147364542	3147364542	3118861591	3118861591	3159849294	3159849294
2	Baja California	2004	2007	2010	T	T	444192013	444192013	574276130	574276130	700869745	700869745	850674583	850674583	946168342	946168342	818229523	818229523	1020265617	1020265617	1810881878	1810881878	2553069574	2553069574	3010616719	3010616719	3721325851	3721325851	3425316785	3425316785	3761015746	3761015746	4528315399	4528315399	4979557126	4979557126	5578831719	5578831719	6404132868	6404132868	6771365315	6771365315	7652179474	7652179474	8233213789	8233213789	10825281886	10825281886
3	Baja California Sur	2005	2008	2011	N	N	107356356	107356356	118719399	118719399	166388038	166388038	199852443	199852443	191029858	191029858	213610301	213610301	313252891	313252891	353660245	353660245	521817521	521817521	656292902	656292902	760310972	760310972	906028021	906028021	936771694	936771694	1090621341	1090621341	1292214187	1292214187	1656615066	1656615066	2205953024	2205953024	2930659721	2930659721	2778246178	2778246178	3485358314	3485358314	2323137138	2323137138
4	Campeche	2003	2006	2009	N	Z	76857009	76857009	110830777	110830777	145697557	145697557	177545955	177545955	191345481	191345481	234326087	234326087	321035225	321035225	403905591	403905591	524518599	524518599	818125618	818125618	1046764632	1046764632	1263966231	1263966231	1346225862	1346225862	1555061463	1555061463	1911745383	1911745383	2097403566	2097403566	2464608023	2464608023	2618132372	2618132372	3433303060	3433303060	3311097429	3311097429	3764076105	3764076105
5	Coahuila de Zaragoza	2005	2009	0	S	Z	252009335	252009335	306392608	306392608	396080182	396080182	419463276	419463276	571860572	571860572	518448758	518448758	719784644	719784644	813651874	813651874	1255413370	1255413370	1744996959	1744996959	2182751552	2182751552	2548258735	2548258735	2826981780	2826981780	3056442102	3056442102	3381536492	3381536492	4115320023	4115320023	4423800261	4423800261	5149047470	5149047470	6340916994	6340916994	6401411818	6401411818	5981022585	5981022585
6	Colima	2003	2006	2009	N	F	63163032	63163032	88475288	88475288	103436198	103436198	108839868	108839868	139663916	139663916	151524395	151524395	204628936	204628936	289805562	289805562	486050690	486050690	634821033	634821033	745204531	745204531	826120046	826120046	978587792	978587792	1059356754	1059356754	1139456438	1139456438	1316382266	1316382266	1540923997	1540923997	1597428339	1597428339	2112931219	2112931219	1912455922	1912455922	2141347496	2141347496
7	Chiapas	2004	2007	2010	N	Z	213033146	213033146	273768600	273768600	284065373	284065373	423463035	423463035	513605658	513605658	464234574	464234574	664905483	664905483	969943908	969943908	1237856596	1237856596	1476271330	1476271330	2344664238	2344664238	1249133797	1249133797	5076238979	5076238979	5815134131	5815134131	6046381394	6046381394	6084518610	6084518610	9333207266	9333207266	8917421604	8917421604	11106923416	11106923416	13006969362	13006969362	10477207540	10477207540
8	Chihuahua	2004	2007	2010	S	J	518863088	518863088	827019444	827019444	882392400	882392400	1135425424	1135425424	1065518883	1065518883	1512526102	1512526102	1212843949	1212843949	1766901067	1766901067	2686636243	2686636243	3442303828	3442303828	4060669526	4060669526	3950582109	3950582109	4378421945	4378421945	4763016327	4763016327	5055615466	5055615466	5820688912	5820688912	7293549991	7293549991	7046095045	7046095045	8126800570	8126800570	9017052885	9017052885	2435690988	2435690988
9	Distrito Federal	2003	2006	2009	N	s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Durango	2004	2007	2010	S	S	101461301	101461301	164155285	164155285	193811983	193811983	223592414	223592414	245598703	245598703	311417483	311417483	410246304	410246304	525684205	525684205	783693216	783693216	1263469852	1263469852	1490947823	1490947823	1752130276	1752130276	1809895975	1809895975	2134854302	2134854302	2197014529	2197014529	2663123390	2663123390	2840122950	2840122950	3230404169	3230404169	4678456445	4678456445	4965941198	4965941198	4246361970	4246361970
