Clave	Nombre	Pop over 5, 1995	Sabe leer y escribir	No sabe leer y escribir	No especificado en condición para leer y escribir	Población over 4, 1995	Asiste	No asiste	No especificado en asistencia escolar	Education level (over 4)	Sin escolaridad a/	Preescolar	Primaria b/	Con instrucción posprimaria	No especificado en nivel de escolaridad	With college degree (over 18)	with graduate studies (over 18)	Average education level (14 or more)	Población de 5 y más años por condición de habla indígena	Habla lengua indígena	No habla lengua indígena	No especificado	Pop over 5, 2000	Sabe leer y escribir 2	No sabe leer y escribir 2	No especificado en condición para leer y escribir 2	Pop over 4	Asiste2	No asiste 2	No especificado en asistencia escolar 2	Población over 4	Sin escolaridad a/ 2	Preescolar2	Primaria b/ 2	Con instrucción posprimaria 2	No especificado en nivel de escolaridad 2	With college degree (over 18) 2	with graduate studies (over 18) 2	Average education level (14 or more) 2	Población de 5 y más años por condición de habla indígena 2	Habla lengua indígena 2	No habla lengua indígena 2	No especificado 2	Pop over 5, 2005	Sabe leer y escribir 3	No sabe leer y escribir 3	No especificado en condición para leer y escribir 3	Pop over 4 2	Asiste3	No asiste 3	No especificado en asistencia escolar 3	Población over 4 2	Sin escolaridad a/ 3	Preescolar3	Primaria b/ 3	Con instrucción posprimaria 3	No especificado en nivel de escolaridad 3	With college degree (over 18) 3	with graduate studies (over 18) 3	Average education level (14 or more) 3	Población de 5 y más años por condición de habla indígena 3	Habla lengua indígena 3	No habla lengua indígena 3	No especificado 3	Pop over 5, 2010	Sabe leer y escribir 4	No sabe leer y escribir 4	No especificado en condición para leer y escribir 4	Pop over 4 3	Asiste4	No asiste 4	No especificado en asistencia escolar 4	Población over 4 3	Sin escolaridad a/ 4	Preescolar4	Primaria b/ 4	Con instrucción posprimaria 4	No especificado en nivel de escolaridad 4	With college degree (over 18) 4	with graduate studies (over 18) 4	Average education level (14 or more) 4	Población de 5 y más años por condición de habla indígena 4	Habla lengua indígena 4	No habla lengua indígena 4	No especificado 4
1001	Aguascalientes	495041	466835	27631	575	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	509754	599	507762	1393	548220	523635	24012	573	563760	190247	370874	2639	563760	25340	26741	230856	276067	4756	55573	3915	8.7	563760	1006	560498	2256	619477	592855	24806	1816	635311	214633	416162	4516	635311	20361	25977	226904	351835	10234	77112	6303	9.3	635311	1958	629675	3678	700940	670712	25234	4994	717057	231177	482518	3362	717057	21711	35733	227232	429646	2735	98749	10648	9.8	717057	1752	713928	1377
1002	Asientos	29598	26597	2983	18	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	30621	6	30510	105	31208	28661	2500	47	32307	10664	21399	244	32307	2175	1705	18837	9333	257	381	44	6	32307	10	32151	146	34068	31332	2623	113	35211	11825	23079	307	35211	1785	1661	18005	12997	763	698	37	6.7	35211	75	34873	263	39078	36155	2493	430	40174	13122	26809	243	40174	1769	2425	18308	17437	235	954	65	7.3	40174	46	39977	151
1003	Calvillo	43502	39487	3930	85	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	44901	46	44641	214	42860	39148	3641	71	44264	13684	30305	275	44264	3893	2241	26663	10878	589	666	48	5.7	44264	56	43971	237	43087	39359	3681	47	44324	14059	30075	190	44324	3262	1991	23870	14523	678	1103	58	6.3	44324	124	44048	152	47088	43771	3065	252	48273	14339	33810	124	48273	3002	2483	23581	19056	151	1496	148	6.9	48273	95	48081	97
1004	Cosío	10041	9335	682	24	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	10351	2	10267	82	10452	9718	707	27	10812	3536	7152	124	10812	618	569	5918	3604	103	286	5	6.6	10812	4	10718	90	11549	10694	846	9	11894	4148	7629	117	11894	557	549	5724	4826	238	426	24	7.1	11894	21	11757	116	13029	12138	649	242	13378	4624	8625	129	13378	455	773	5628	6473	49	577	28	7.8	13378	16	13337	25
1005	Jesús María	44418	40003	4391	24	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	46138	19	46047	72	52463	48458	3911	94	54334	17782	36264	288	54334	4040	3008	29700	17036	550	1608	135	6.6	54334	70	53729	535	67910	63328	4485	97	70173	24146	45583	444	70173	3539	3176	33108	29080	1270	4201	336	7.7	70173	195	69631	347	84805	79946	4210	649	87244	29307	57232	705	87244	3476	5109	35658	42717	284	7507	835	8.6	87244	177	86822	245
1006	Pabellón de Arteaga	26148	23613	2516	19	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	27056	12	26973	71	28581	26574	1957	50	29572	10228	19114	230	29572	1932	1504	14168	11659	309	1579	94	7.4	29572	31	29347	194	32746	30474	2246	26	33764	12024	21588	152	33764	1592	1571	14282	15879	440	2324	91	8	33764	71	33543	150	36125	33861	1965	299	37066	12818	24090	158	37066	1488	2218	13908	19239	213	3035	243	8.6	37066	75	36888	103
1007	Rincón de Romos	31909	29075	2804	30	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	33016	28	32936	52	34655	31958	2634	63	35868	12918	22708	242	35868	2252	1918	17440	13849	409	1643	93	7.2	35868	42	35607	219	38172	35311	2799	62	39318	14276	24900	142	39318	1900	1873	16998	17954	593	2541	122	7.9	39318	99	39117	102	42286	39348	2335	603	43482	15332	27933	217	43482	1676	2195	16702	22587	322	3120	308	8.5	43482	96	43284	102
1008	San José de Gracia	5854	5422	430	2	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	6071	0	6049	22	5953	5567	377	9	6166	2164	3947	55	6166	274	339	3537	1958	58	174	11	6.7	6166	2	6124	40	6478	6030	442	6	6668	2419	4221	28	6668	246	350	3348	2607	117	242	10	7.3	6668	15	6632	21	7274	6839	362	73	7454	2539	4888	27	7454	182	450	3213	3572	37	351	24	8	7454	35	7402	17
1009	Tepezalá	13375	11984	1386	5	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	13820	1	13787	32	13698	12627	1045	26	14187	4823	9259	105	14187	768	817	8300	4173	129	246	10	6.1	14187	2	14126	59	14720	13626	1084	10	15176	5340	9789	47	15176	684	771	8002	5556	163	390	15	6.7	15176	26	15115	35	16944	15581	1184	179	17429	5854	11367	208	17429	683	1011	8159	7441	135	438	34	7.2	17429	48	17318	63
1010	El Llano	11757	10565	1185	7	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	12177	1	12167	9	12678	11469	1176	33	13150	4433	8591	126	13150	991	662	7735	3592	170	275	6	6	13150	1	13067	82	14531	13292	1207	32	14989	5284	9579	126	14989	866	748	7758	5255	362	308	11	6.4	14989	44	14846	99	16284	15106	1060	118	16731	5453	11211	67	16731	838	910	7578	7344	61	612	32	7.3	16731	24	16659	48
1011	San Francisco de los Romo	14622	13017	1598	7	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	15132	15	15084	33	16389	15042	1318	29	16984	5582	11297	105	16984	1279	904	9532	5073	196	310	18	6.2	16984	20	16862	102	23642	21917	1706	19	24433	8270	16042	121	24433	1499	1159	11151	10195	429	829	42	7.3	24433	85	24259	89	30174	28153	1819	202	31119	10350	20659	110	31119	1505	2104	12722	14674	114	1235	83	7.9	31119	72	30992	55
2001	Ensenada	267693	244148	22811	734	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	275387	13954	259446	1987	290475	269428	20428	619	298617	94416	201857	2344	298617	23827	13259	120050	140129	1352	22202	2039	7.9	298617	16632	280079	1906	348877	324277	23674	926	357475	113522	240456	3497	357475	18943	14104	128876	187125	8427	33418	2297	8.6	357475	17308	337619	2548	411815	381468	25141	5206	420633	130027	284337	6269	420633	21483	18079	143728	233787	3556	45603	4773	8.9	420633	23266	395368	1999
2002	Mexicali	598039	563843	32997	1199	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	614463	1646	609552	3265	622782	592243	28791	1748	639071	202870	430935	5266	639071	37663	27914	229569	339673	4252	60713	3825	8.5	639071	5517	628524	5030	709271	674080	32238	2953	726114	227783	490044	8287	726114	24782	28759	232040	422959	17574	82059	4526	9.2	726114	3696	715552	6866	817661	777335	28273	12053	834904	257002	562076	15826	834904	25361	36328	248606	517191	7418	105905	9026	9.6	834904	3961	823828	7115
2003	Tecate	52849	49412	3373	64	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	54503	410	53961	132	59320	55700	3353	267	61141	18975	41444	722	61141	4387	3257	25371	27781	345	3227	181	7.7	61141	715	59859	567	75898	70707	3894	1297	77719	24064	51768	1887	77719	3069	2879	28855	39843	3073	5130	268	8.3	77719	1067	75087	1565	89046	84193	3409	1444	90944	27639	58547	4758	90944	3254	4043	31407	50975	1265	7422	556	8.9	90944	805	89753	386
2004	Tijuana	834720	790477	40939	3304	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	859375	6383	844030	8962	937943	892574	42320	3049	965133	284483	670796	9854	965133	61240	36434	380607	481723	5129	66570	4979	8.1	965133	13902	940864	10367	1117714	1062810	47818	7086	1146065	350143	782145	13777	1146065	40200	41105	411609	625883	27268	99750	5058	8.8	1146065	10821	1121507	13737	1368996	1299434	48505	21057	1399102	423161	953217	22724	1399102	45914	58393	466779	815146	12870	136867	11151	9.2	1399102	11985	1377645	9472
2005	Playas de Rosarito	39377	37145	2017	215	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	40540	519	39171	850	45500	42804	2557	139	46907	14009	32395	503	46907	3868	1821	20534	20441	243	2152	160	7.3	46907	919	45336	652	58806	55344	3145	317	60410	18960	40620	830	60410	2755	2284	24187	29741	1443	3469	152	8.1	60410	712	58851	847	77124	72372	3238	1514	78828	24213	53489	1126	78828	2898	3309	28473	43070	1078	5286	407	8.5	78828	988	76704	1136
3001	Comondú	56934	51592	5258	84	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	58509	423	57829	257	55033	50822	4118	93	56411	17838	38236	337	56411	5059	2645	25163	23145	399	2229	109	7.2	56411	465	55687	259	55429	51403	3978	48	56720	18090	38429	201	56720	3480	2295	22684	27054	1207	3209	149	7.9	56720	385	55737	598	62971	58257	3914	800	64382	19041	44979	362	64382	4148	3105	23695	33037	397	4579	246	8.2	64382	814	63370	198
3002	Mulegé	39044	35783	3212	49	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	40185	1022	38851	312	39193	36283	2769	141	40259	11813	28099	347	40259	3119	1934	18204	16816	186	1447	45	7.3	40259	1232	38622	405	44880	41334	3406	140	45928	12939	32633	356	45928	3435	1718	19886	20086	803	2049	77	7.4	45928	2411	43055	462	51847	47663	3739	445	52929	14751	37344	834	52929	3197	2693	21199	25475	365	3153	172	7.9	52929	2993	49519	417
3003	La Paz	158759	149701	8858	200	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	162790	1402	160709	679	172111	164029	7856	226	176157	58043	117304	810	176157	7503	8308	60855	98700	791	19291	1096	9	176157	1865	173573	719	185987	178478	6945	564	189826	61579	126349	1898	189826	5599	6454	56827	117281	3665	27048	1954	9.7	189826	2133	185983	1710	223351	214194	7913	1244	227538	68123	158682	733	227538	5857	9518	63543	147895	725	37324	3496	10.2	227538	2488	224624	426
3008	Los Cabos	59520	55660	3675	185	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	61299	608	60015	676	88383	83473	4676	234	90914	24435	65521	958	90914	5039	4634	37226	43369	646	5785	274	8.1	90914	1721	88271	922	132061	124184	5979	1898	135769	39077	93737	2955	135769	4212	5405	48925	72111	5116	11972	381	8.9	135769	2126	130155	3488	202284	190663	8960	2661	207201	60219	144740	2242	207201	6655	10106	68269	120615	1556	22232	1347	9.3	207201	4069	201537	1595
3009	Loreto	8641	8028	611	2	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	8860	13	8836	11	10235	9612	606	17	10474	3307	7106	61	10474	578	546	4813	4490	47	542	26	7.8	10474	70	10370	34	10392	9846	530	16	10624	3431	7084	109	10624	419	423	4118	5421	243	786	19	8.5	10624	40	10375	209	14593	13742	698	153	14881	4059	10727	95	14881	570	676	5312	8200	123	1428	58	8.9	14881	297	14549	35
4001	Calkiní	37635	30414	7152	69	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	38672	24977	13624	71	41032	33878	7057	97	42050	15147	26616	287	42050	5283	2249	19312	14922	284	3373	112	6.6	42050	26558	15340	152	44134	36722	7371	41	45116	14997	29987	132	45116	4542	1923	18531	19223	897	4300	170	7.4	45116	26127	18918	71	46965	40070	6056	839	47886	14904	32637	345	47886	4102	2108	17871	23327	478	5780	287	8.1	47886	26113	21641	132
