"Clave"	"Nombre.x"	"X1994.Consultas.por.médico"	"X1994.Consultas.por.unidad.médica"	"X1994.Médicos.por.unidad.médica"	"X1995.Consultas.por.médico"	"X1995.Consultas.por.unidad.médica"	"X1995.Médicos.por.unidad.médica"	"X1996.Consultas.por.médico"	"X1996.Consultas.por.unidad.médica"	"X1996.Médicos.por.unidad.médica"	"X1997.Consultas.por.médico"	"X1997.Consultas.por.unidad.médica"	"X1997.Médicos.por.unidad.médica"	"X1998.Consultas.por.médico"	"X1998.Consultas.por.unidad.médica"	"X1998.Médicos.por.unidad.médica"	"X1999.Consultas.por.médico"	"X1999..Consultas.por.unidad.médica"	"X1999.Médicos.por.unidad.médica"	"X2000.Consultas.por.médico"	"X2000.Consultas.por.unidad.médica"	"X2000.Médicos.por.unidad.médica"	"X2001.Consultas.por.médico"	"X2001.Consultas.por.unidad.médica"	"X2001.Médicos.por.unidad.médica"	"X2002.Consultas.por.médico"	"X2002.Consultas.por.unidad.médica"	"X2002.Médicos.por.unidad.médica"	"X2003.Consultas.por.médico"	"X2003.Consultas.por.unidad.médica"	"X2003.Médicos.por.unidad.médica"	"X2004.Consultas.por.médico"	"X2004.Consultas.por.unidad.médica"	"X2004.Médicos.por.unidad.médica"	"X2005.Consultas.por.médico"	"X2005.Consultas.por.unidad.médica"	"X2005.Médicos.por.unidad.médica"	"X2006.Consultas.por.médico"	"X2006.Consultas.por.unidad.médica"	"X2006.Médicos.por.unidad.médica"	"X2007.Consultas.por.médico"	"X2007.Consultas.por.unidad.médica"	"X2007.Médicos.por.unidad.médica"	"X2008.Consultas.por.médico"	"X2008.Consultas.por.unidad.médica"	"X2008.Médicos.por.unidad.médica"	"X2009.Consultas.por.médico"	"X2009.Consultas.por.unidad.médica"	"X2009.Médicos.por.unidad.médica"	"X2010.Consultas.por.médico"	"X2010.Consultas.por.unidad.médica"	"X2010.Médicos.por.unidad.médica"
"1"	1001	"Aguascalientes"	1469.6	35648.4	24.3	1458.8	40309.9	27.6	1394.3	42673.9	30.6	1310	44642.9	34.1	1337.8	42614.8	31.9	1313.3	44850.6	34.2	1349.7	43703.8	32.4	1304.1	44491.4	34.1	1333.3	39460.5	29.6	1299.8	45831	35.3	1215.9	46599.7	38.3	1244.2	40726.6	32.7	1292.1	41414.8	32.1	1277.2	41062.9	32.2	1229.7	40082.6	32.6	1256.9	42363.1	33.7	1272.3	44485.8	35
"2"	1002	"Asientos"	2673.4	2879.1	1.1	1978.9	3348.8	1.7	1915	3535.3	1.8	2189.7	3705.7	1.7	1998.8	3843.8	1.9	2143.6	4122.2	1.9	2606.5	4812	1.8	2547.2	5094.5	2	2603.1	5950	2.3	2634.7	5833.9	2.2	1909.7	6547.5	3.4	2822	9675.4	3.4	3091.8	9937.8	3.2	3286.2	11266.9	3.4	3256.1	11861.4	3.6	3595.8	12328.6	3.4	3102.5	11302	3.6
"3"	1003	"Calvillo"	1765.3	5043.8	2.9	1541.2	5834.6	3.8	1466	6059.5	4.1	1294.1	5953	4.6	1304.1	6031.7	4.6	1389.1	6667.6	4.8	1090.4	5929.3	5.4	1110.8	6179.1	5.6	1318.3	7250.8	5.5	1232.8	6857.5	5.6	1183.5	8062.8	6.8	1533.3	9560.9	6.2	1434.9	9706.6	6.8	1461.6	10317.3	7.1	1589.5	11687.6	7.4	1691.7	11218.8	6.6	1617.4	11770.9	7.3
"4"	1004	"Cosío"	1915.3	2873	1.5	2620	5240	2	1577.8	2629.7	1.7	3171.3	3171.3	1	1968	2952	1.5	2424	3636	1.5	2656	3984	1.5	2643.3	4625.8	1.8	2652.1	5304.2	2	2893.7	5064	1.8	1748.9	5684	3.2	2989.5	8221	2.8	3241.6	8914.5	2.8	3814.7	8583	2.2	3355.2	10065.8	3	4200.2	12600.8	3	4607.9	12671.8	2.8
"5"	1005	"Jesús María"	1078.9	9035.5	8.4	1112.3	10567	9.5	1141.9	11704.4	10.2	1103	12822.4	11.6	1124.1	13770.8	12.2	991.6	16113.4	16.2	1343.9	16630.4	12.4	3669.9	17825	4.9	3393.4	15270.4	4.5	2681.8	14414.5	5.4	2827.5	15551.5	5.5	3226.8	18150.6	5.6	3099.5	17822	5.8	3009.6	18433.9	6.1	3268.7	19203.5	5.9	3359.5	17133.2	5.1	3625.1	18850.4	5.2
"6"	1006	"Pabellón de Arteaga"	1949.1	14813.2	7.6	2263.4	15390.8	6.8	1992.9	16341.6	8.2	1771.8	17009	9.6	1608.8	18340	11.4	1258.1	18871.2	15	1570.5	17275.3	11	1429.5	17392.3	12.2	1453.9	16408.4	11.3	1374	15703.4	11.4	1179	16674	14.1	1421.9	19907.3	14	1440.5	19961.3	13.9	1434.9	20293.6	14.1	1514	21195.7	14	1497.4	22032.7	14.7	1478.4	22598.1	15.3
"7"	1007	"Rincón de Romos"	2123.2	13952.6	6.6	1548	11499.7	7.4	1300.2	9914.4	7.6	1365	11090.2	8.1	1340.8	11061.6	8.2	1129.6	10872.9	9.6	1321.9	12227.6	9.2	1217.8	11569.4	9.5	1170.9	12880.2	11	1049.1	12327.1	11.8	853.2	13224.6	15.5	1171.3	15747.9	13.4	1172.6	16025.2	13.7	1260.2	18063.6	14.3	1377.6	19899	14.4	1431.4	15745.4	11	1456.2	16466.5	11.3
"8"	1008	"San José de Gracia"	1444	1444	1	1263.8	1685	1.3	979.3	1259.1	1.3	1218.8	1392.9	1.1	1072.1	1378.4	1.3	1576.5	1801.7	1.1	1298.1	1669	1.3	1645.4	1645.4	1	1286	2250.5	1.8	1677.6	2516.4	1.5	1718.1	3006.6	1.8	2116.1	4496.6	2.1	2329.6	4659.1	2	2519.7	4724.4	1.9	2665.9	5665	2.1	3290.6	5758.6	1.8	2180.8	4634.1	2.1
"9"	1009	"Tepezalá"	2063.8	2063.8	1	1406	2109	1.5	1501.3	1801.6	1.2	2781.5	2225.2	0.8	2038.5	2446.2	1.2	2238.5	2686.2	1.2	2884.6	2884.6	1	3252.4	3252.4	1	3493.7	4192.4	1.2	3047.7	3657.2	1.2	1917.6	4602.2	2.4	3365	8076	2.4	3529.5	8470.8	2.4	3653.5	8768.4	2.4	3455.8	8985.2	2.6	3476.6	9734.6	2.8	3420.9	8552.3	2.5
"10"	1010	"El Llano"	1863.7	2236.4	1.2	1591.7	2228.4	1.4	1252.1	2003.4	1.6	1728.6	2765.8	1.6	1236.6	3297.5	2.7	2210.4	4420.8	2	1909	3818	2	2690.8	4933.2	1.8	3412.3	5849.7	1.7	NA	NA	2.3	1263.7	5777	4.6	3701.9	8461.6	2.3	4696.4	8721.9	1.9	3543.8	8606.4	2.4	3622.1	9313.9	2.6	3305.8	8500.6	2.6	2920.5	7509.9	2.6
"11"	1011	"San Francisco de los Romo"	2190.6	3651	1.7	2922.2	4870.3	1.7	2409.2	3613.8	1.5	2939	3673.8	1.2	1787.6	4022	2.2	1449.4	4710.5	3.2	1600.5	5601.8	3.5	2780.4	6951	2.5	2501.4	8754.8	3.5	2363.1	8271	3.5	2606.9	11731.2	4.5	2594.6	10378.5	4	2353.4	8825.2	3.8	2695.9	9435.8	3.5	2455.1	9206.8	3.8	2617.1	11122.8	4.2	2707.1	10828.5	4
"12"	2001	"Ensenada"	2146.1	14409.7	6.7	NA	14343.8	NA	1078.3	15712.6	14.6	1683.9	15899.9	9.4	1677.5	14007.3	8.4	2392.9	14828.3	6.2	2509.4	15566.9	6.2	1577	14283.5	9.1	2047.8	13727.5	6.7	1498.3	12409.2	8.3	1705.9	16346	9.6	1542.1	13383.5	8.7	1708.3	13685.1	8	1750.7	14607.9	8.3	1629.6	14411.4	8.8	1697.1	15499.1	9.1	1601.6	14351.6	9
