Region	reg	num.Mun	Date	effect.G.1	SD.ney.G.1
Juárez	4	16	2008	103.625930307487	4.52395643560794
Tijuana	1	4	2008	28.307739399013	9.80907517462573
Acapulco	18	36	2008	24.0501915546719	3.91675004577546
Guadalupe	8	20	2009	7.49645249954348	6.44763341257461
Sinaloa	12	28	2007	4.66317967956845	2.56024428542713
Teúl	10	10	2009	2.88086308001911	2.57167042725832
Celaya	15	9	2009	2.82124356581622	0.48221011031345
Villa de Cos	9	22	2008	0.486077701919153	5.01191835722958
Nogales	2	6	2008	-1.10747623401173	16.9652185118244
Pánuco	5	14	2007	-1.82988335192711	0.842631455336198
Reynosa	6	24	2008	-3.24216539873418	5.7119297202734
Rincón de Romos	11	7	2008	-5.22251600308394	0.623893131140812
Apatzingán	16	9	2007	-26.441173366093	3.43822113941339
Average	0	250	0	10.4991125718606	12.349596697853
