Column	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z	2206	2388	2510	2447	2680	2524	2277	2328	2436	2157	1811	1649	1627	1794	1474	1632	1814	1584	1940	2690	3484
Z	23428880	2.40187292E7	2.46085784E7	2.51984276E7	2.57882768E7	26378126	2.67547882E7	2.71314504E7	2.75081126E7	2.78847748E7	28227132	2.86683484E7	2.91095648E7	2.95507812E7	2.99919976E7	30433214	3.10367472E7	3.16402804E7	3.22438136E7	3.28473468E7	33450880
P	129	163	234	201	219	302	255	248	265	238	199	183	177	155	160	156	196	249	302	478	406
P	1299158	1339175.8	1379193.6	1419211.4	1459229.2	1499247	1516140.6	1533034.2	1549927.8	1566821.4	1583715	1606754.2	1629793.4	1652832.6	1675871.8	1698911	1734391.6	1769872.2	1805352.8	1840833.4	1876314
F	1111	1112	1306	1243	1108	1027	993	761	596	609	572	617	503	528	485	631	827	542	598	873	752
F	3819003	3888427.6	3957852.2	4027276.8	4096701.4	4166126	4195238	4224350	4253462	4282574	4311686	4316847.4	4322008.8	4327170.2	4332331.6	4337493	4426832.2	4516171.4	4605510.6	4694849.8	4784189
J	47	71	57	114	204	328	288	257	250	141	246	242	263	199	181	220	223	200	1565	2420	3698
J	815995	858872.6	901750.2	944627.8	987505.4	1030383	1071857.2	1113331.4	1154805.6	1196279.8	1237754	1256403.2	1275052.4	1293701.6	1312350.8	1331000	1333477.6	1335955.2	1338432.8	1340910.4	1343388
S	1956	2171	2497	2148	2233	2362	2139	1961	1961	1824	1509	1528	1673	1584	1379	1439	1624	1408	2701	3854	6334
S	11982809	1.22470416E7	1.25112742E7	1.27755068E7	1.30397394E7	13303972	1.34280002E7	1.35520284E7	1.36760566E7	1.38000848E7	13898429	1.40633336E7	1.42282382E7	1.43931428E7	1.45580474E7	14722952	1.49926926E7	1.52624332E7	1.55321738E7	1.58019144E7	16071655
T	248	279	288	265	320	368	357	318	547	595	411	386	403	419	442	411	434	351	1004	1498	1503
T	1660855	1751112	1841369	1931626	2021883	2112140	2187185.4	2262230.8	2337276.2	2412321.6	2487367	2558787.4	2630207.8	2701628.2	2773048.6	2844469	2906589.2	2968709.4	3030829.6	3092949.8	3155070
N	11	16	19	21	26	34	25	35	17	34	30	21	35	24	32	33	26	34	36	35	57
N	317764	329310	340856	352402	363948	375494	385203.4	394912.8	404622.2	414331.6	424041	441666.8	459292.6	476918.4	494544.2	512170	537141.2	562112.4	587083.6	612054.8	637026
D	4385	4462	4662	4595	4361	4216	3984	3706	3792	3242	2957	2784	2655	2660	2521	2726	2533	2159	2675	3510	3851
D	18793089	19368892	19944695	20520498	21096301	21672104	2.20836088E7	2.24951136E7	2.29066184E7	2.33181232E7	23729628	24064696	24399764	24734832	25069900	25404968	2.59076994E7	2.64104308E7	2.69131622E7	2.74158936E7	27918625
s	2619	2477	2658	2563	2461	2516	2410	2209	2149	1843	1690	1756	1633	1670	1602	1568	1567	1316	1780	2361	3140
s	13446261	1.35775278E7	1.37087946E7	1.38400614E7	1.39713282E7	14102595	1.41765132E7	1.42504314E7	1.43243496E7	1.43982678E7	14472186	1.44918582E7	1.45115304E7	1.45312026E7	1.45508748E7	14570547	14649732	14728917	14808102	14887287	14966472
a	1514	1687	2017	2120	1900	1641	1515	1480	1419	1342	1141	941	867	831	776	822	929	800	1103	1649	1794
a	4625871	4771360.2	4916849.4	5062338.6	5207827.8	5353317	5447930.6	5542544.2	5637157.8	5731771.4	5826385	5865024.2	5903663.4	5942302.6	5980941.8	6019581	6147018	6274455	6401892	6529329	6656766
z	137	156	145	133	124	113	108	109	120	88	93	70	52	58	67	74	87	70	72	111	368
z	1059960	1084472	1108984	1133496	1158008	1182520	1203033.8	1223547.6	1244061.4	1264575.2	1285089	1305687.8	1326286.6	1346885.4	1367484.2	1388083	1405697	1423311	1440925	1458539	1476153
national	14363	14982	16393	15850	15636	15431	14351	13412	13552	12113	10659	10177	9888	9922	9119	9712	10260	8713	13776	19479	25387
national	81249645	8.32349208E7	8.52201966E7	8.72054724E7	8.91907482E7	91176024	9.24494994E7	9.37229748E7	9.49964502E7	9.62699256E7	97483412	9.86394072E7	9.97954024E7	1.009513976E8	1.021073928E8	103263388	105078018	106892648	108707278	110521908	112336538
