"","State","Municipality","Lat","Lon","Clave","ConsultsPerDoc","ConsultsPerMedUnit","DocsPerMedUnit","AvEduc05","ReadWrite05","MissReadWrite05","IndLang05","MissIndLang05","Hom06","PopMun06","PartyMunBC","Inc06","Exp06","StatePop06","StateHom06","StateGDP06"
"1","Aguascalientes","Aguascalientes",21.8817964,-102.2912701,1001,1292.1,41414.8,32.1,9.3,0.957025038863428,0.00293150512448404,0.00308195513693294,1.87844739530133,19,737836.4,"PAN",1738395172,1738395172,1089332,26,104722669
"2","Aguascalientes","Asientos",22.2384759,-102.0890156,1002,3091.8,9937.8,3.2,6.7,0.919690031701303,0.00331689562052366,0.00213001618812303,3.50666666666667,2,41536,"PAN",68123027,68123027,1089332,26,104722669
"3","Aguascalientes","Calvillo",21.8468345,-102.7186454,1003,1434.9,9706.6,6.8,6.3,0.913477382969341,0.00109081625548309,0.0027975814457179,1.2258064516129,0,50973.6,"PAN",122287130,122287130,1089332,26,104722669
"4","Aguascalientes","Cosio",22.3656529,-102.2997344,1004,3241.6,8914.5,2.8,7.1,0.925967616243831,0.000779288250064941,0.00176559609887338,5.52380952380952,0,13958,"PAN",40300477,40300477,1089332,26,104722669
"5","Aguascalientes","Jesus Maria",21.9598912,-102.3430316,1005,3099.5,17822,5.8,7.7,0.932528346340745,0.00142836106611692,0.00277884656491813,1.77948717948718,3,86016.4,"PAN",156526336,156526336,1089332,26,104722669
"6","Aguascalientes","Pabellon de Arteaga",22.1459657,-102.2760701,1006,1440.5,19961.3,13.9,8,0.930617479997557,0.00079399010566176,0.00210283141807843,2.11267605633803,1,39502,"PAN",79463403,79463403,1089332,26,104722669
"7","Aguascalientes","Rincon de Romos",22.2292624,-102.3205376,1007,1172.6,16025.2,13.7,7.9,0.925049774703972,0.00162422718222781,0.00251793071875477,1.03030303030303,0,46208,"PRI",97885956,97885956,1089332,26,104722669
"8","Aguascalientes","San Jose de Gracia",22.1475929,-102.4129804,1008,2329.6,4659.1,2,7.3,0.930842852732325,0.000926211793763507,0.002249550089982,1.4,0,7793.4,"PAN",29860314,29860314,1089332,26,104722669
"9","Aguascalientes","Tepezala",22.2242232,-102.1738881,1009,3529.5,8470.8,2.4,6.7,0.925679347826087,0.000679347826086957,0.00171323141802847,1.34615384615385,0,17831.2,"PAN",39100131,39100131,1089332,26,104722669
"10","Aguascalientes","El Llano",21.912105,-102.048837,1010,4696.4,8721.9,1.9,6.4,0.914734016929324,0.00220218842474709,0.00293548602308359,2.25,1,17457.6,"PAN",38904928,38904928,1089332,26,104722669
"11","Aguascalientes","San Francisco de los Romo",22.0686684,-102.2702329,1011,2353.4,8825.2,3.8,7.3,0.927036629726757,0.000803654513154555,0.00347890148569558,1.04705882352941,0,30219.4,"PAN",75093156,75093156,1089332,26,104722669
"12","Baja California","Ensenada",31.859577,-116.606428,2001,1708.3,13685.1,8,8.6,0.929488043063888,0.00265423057409918,0.0484173718441849,0.147215160619367,55,424147.6,"PRD",788103401,788103401,2906589.2,434,297254110
"13","Baja California","Mexicali",32.6455704,-115.4453421,2002,1401.7,25511,18.2,9.2,0.95038426779045,0.00416342977507892,0.00509010981746668,1.85768398268398,76,872134.8,"PRD",1986113036,1986113036,2906589.2,434,297254110
"14","Baja California","Tecate",32.5685837,-116.6346969,2003,2237.2,20507.7,9.2,8.3,0.931605575904503,0.0170887243405623,0.013728946589637,1.46672914714152,14,93043,"PRD",227358398,227358398,2906589.2,434,297254110
