Clave,State,2003,2004,2005,2006,2007,2008,2009,2010
01,Aguascalientes,76880441,85040449,92176187,104722669,115882184,121714023,124537968,137537594
02,Baja California,216923395,246886040,267448291,297254110,315180277,330188603,321428097,339451756
03,Baja California Sur,38303079,44639935,48458584,54605381,61277640,66926185,72429444,75360040
04,Campeche,350828234,450632997,488581628,620541539,678970692,803545648,582315473,645293199
05,Coahuila de Zaragoza,234361478,266771723,280738938,315418288,337371455,371379354,334100633,388502943
06,Colima,40305727,43466961,45764980,51426652,56869056,61123132,59735198,69551309
07,Chiapas,141806156,150985494,163309771,182807376,190977529,214181873,210189220,229422035
08,Chihuahua,237889701,267632624,289784183,323824880,349925166,372017072,353803766,371014956
09,Distrito Federal,1325151578,1500899253,1588130518,1747885579,1884649771,2006764758,2005159683,2160048526
10,Durango,94610781,106969678,110785296,119715928,128604262,141948236,144632271,156890199
11,Guanajuato,290046486,319972952,338670575,381010518,403946807,438296679,439184443,491382991
12,Guerrero,116408801,128968805,138547098,148673093,165089586,167858194,169185272,186026285
13,Hidalgo,101846652,120232762,129685368,147707521,167338493,192723566,183810265,194399691
14,Jalisco,480691228,530530072,573694355,630018003,684291501,728820203,711226548,787147048
15,México,645873047,721313010,794152299,880578559,963333040,1037496893,1037967384,1172479719
16,Michoacán de Ocampo,178913205,200443829,212851457,235390729,259963668,288967029,280441279,300829596
17,Morelos,90331248,97570933,104330474,110843162,119163430,120592007,125787229,138852842
18,Nayarit,41636126,48168350,51321490,63004715,62940538,70065075,70144874,74319542
19,Nuevo León,521232473,608018410,659523322,744577817,831117250,896858491,857493599,938002962
20,Oaxaca,113735344,128513349,135571145,154530776,167789212,185210964,184516059,194208592
21,Puebla,244943139,266780366,297408774,331976193,361203891,393025316,378526653,423877988
22,Querétaro,118150464,134992571,151557465,170979772,193027258,213156727,207982567,232181692
23,Quintana Roo,98484173,111901838,126568126,140695795,157364201,168303578,163452169,176812630
24,San Luis Potosí,128428627,148229994,161792187,185049702,197956544,218614837,211872696,238730437
25,Sinaloa,146018584,170614156,177699035,192556533,218443784,240650026,241941890,264401611
26,Sonora,169527306,195859919,216429316,254370896,275537600,288021727,288938507,320899924
27,Tabasco,170381670,208570808,243879128,305540942,353483922,437499875,390077080,462467019
28,Tamaulipas,244346686,284619852,304629659,326449504,365315115,406932406,367534154,387540126
29,Tlaxcala,41937491,47245346,47347961,53186571,56884559,61529466,61396784,67852644
30,Veracruz de Ignacio de la Llave,313406216,364702837,397617103,460198951,501868539,543924632,539805613,590287903
31,Yucatán,95956498,109335770,121943667,133648009,147786099,157937139,161648396,175015847
32,Zacatecas,53417232,60583910,64686245,73903325,80830484,91497996,99383932,113954551
