Nombre	1990 E	1990 I	1990 T	1990 H	1991 E	1991 I	1991 T	1991 H	1992 E	1992 I	1992 T	1992 H	1993 E	1993 I	1993 T	1993 H	1994 E	1994 I	1994 T	1994 H	1995 E	1995 I	1995 T	1995 H	1996 E	1996 I	1996 T	1996 H	1997 E	1997 I	1997 T	1997 H	1998 E	1998 I	1998 T	1998 H	1999 E	1999 I	1999 T	1999 H	2000 E	2000 I	2000 T	2000 H	2001 E	2001 I	2001 T	2001 H	2002 E	2002 I	2002 T	2002 H	2003 E	2003 I	2003 T	2003 H	2004 E	2004 I	2004 T	2004 H	2005 E	2005 I	2005 T	2005 H	2006 E	2006 I	2006 T	2006 H	2007 E	2007 I	2007 T	2007 H	2008 E	2008 I	2008 T	2008 H	2009 E	2009 I	2009 T	2009 H	2010E	2010 I	2010 T	2010 H
Abalá	134520	134520	1	0	391946	391946	1	0	303707	303707	2	0	461318	461318	6	0	660876	660876	1	0	845895	845895	1	0	1241446	1241446	2	0	1704284	1704284	4	0	2197558	2197558	0	0	2791246	2791246	3	0	0	0	0	0	1847829	1847829	1	0	7677798	7677798	8	0	8484405	8484405	3	0	9207889	9207889	1	0	10316304	10316304	3	0	12044549	12044549	1	0	12998878	12998878	3	0	15166596	15166596	4	0	17868009	17868009	1	0	19703589	19703589	3	1
Abasolo	275855	275855	6	1	494719	494719	13	1	661728	661728	6	1	721230	721230	5	0	939498	939498	14	4	1042709	1042709	3	0	1287545	1287545	7	1	1481073	1481073	3	0	4244395	4244395	4	0	4354603	4354603	5	1	5947835	5947835	9	3	7198375	7198375	2	0	9066586	9066586	10	2	8332274	8332274	4	0	8741202	8741202	7	0	10861973	10861973	5	0	13224908	13224908	5	0	17761783	17761783	7	0	20804245	20804245	5	1	15250645	15250645	14	3	14108404	14108404	21	11
Abasolo	3328697	3328697	6	1	3280524	3280524	13	1	4789210	4789210	6	1	7315859	7315859	5	0	7674663	7674663	14	4	0	0	3	0	12318134	12318134	7	1	15066430	15066430	3	0	37972903	37972903	4	0	54047533	54047533	5	1	76742611	76742611	9	3	73828798	73828798	2	0	84873899	84873899	10	2	121169576	121169576	4	0	104753935	104753935	7	0	114224479	114224479	5	0	121554163	121554163	5	0	130913687	130913687	7	0	202079230	202079230	5	1	165121786	165121786	14	3	222380846	222380846	21	11
Abasolo	491414	491414	6	1	609011	609011	13	1	921075	921075	6	1	1306885	1306885	5	0	1424090	1424090	14	4	1571098	1571098	3	0	3788313	3788313	7	1	5079214	5079214	3	0	5422829	5422829	4	0	5948917	5948917	5	1	6811708	6811708	9	3	9605129	9605129	2	0	13610168	13610168	10	2	10969848	10969848	4	0	10931456	10931456	7	0	11398658	11398658	5	0	13256356	13256356	5	0	17745264	17745264	7	0	20065237	20065237	5	1	17331222	17331222	14	3	18594552	18594552	21	11
Abasolo	704447	704447	6	1	931869	931869	13	1	1062401	1062401	6	1	1528318	1528318	5	0	2023092	2023092	14	4	2577575	2577575	3	0	3433118	3433118	7	1	4026498	4026498	3	0	5313305	5313305	4	0	12666960	12666960	5	1	15918121	15918121	9	3	0	0	2	0	0	0	10	2	22444348	22444348	4	0	0	0	7	0	26359039	26359039	5	0	28652555	28652555	5	0	23164151	23164151	7	0	35958718	35958718	5	1	41100437	41100437	14	3	38404260	38404260	21	11
Abejones	42305	42305	1	0	43459	43459	0	0	65764	65764	1	0	75576	75576	0	0	113817	113817	0	0	128171	128171	0	0	318508	318508	0	0	741274	741274	1	0	1328608	1328608	0	0	1447181	1447181	2	0	1215001	1215001	4	0	5387731	5387731	1	0	4672758	4672758	0	0	4446831	4446831	1	0	3338112	3338112	1	0	3318367	3318367	0	0	0	0	1	0	5144628	5144628	2	0	4980087	4980087	0	0	5202530	5202530	1	0	6793149	6793149	0	0
Acacoyagua	871041	871041	9	1	1039200	1039200	10	2	957077	957077	5	1	1325779	1325779	11	2	1308868	1308868	7	4	1483953	1483953	15	5	4063288	4063288	3	1	3790397	3790397	9	2	4795545	4795545	16	4	4952172	4952172	12	3	7867149	7867149	11	4	0	0	9	4	0	0	15	0	19738566	19738566	8	1	24240003	24240003	16	1	24986791	24986791	16	0	38531360	38531360	12	3	49843176	49843176	10	0	44346461	44346461	12	2	55560234	55560234	22	2	41175337	41175337	11	0
Acajete	1143196	1143196	7	0	1775582	1775582	5	0	2247079	2247079	4	2	2379357	2379357	3	1	2738345	2738345	5	1	2614582	2614582	3	0	4353609	4353609	2	0	6452595	6452595	3	0	6622539	6622539	8	0	8121054	8121054	6	0	19389793	19389793	5	0	0	0	4	0	48501226	48501226	3	0	50269174	50269174	0	0	52275978	52275978	3	0	49887622	49887622	5	0	71788766	71788766	4	0	67726638	67726638	6	0	74279553	74279553	4	0	86595044	86595044	11	1	0	0	4	2
Acajete	235068	235068	7	0	377142	377142	5	0	415914	415914	4	2	720147	720147	3	1	956532	956532	5	1	1027010	1027010	3	0	1410598	1410598	2	0	1828038	1828038	3	0	2387085	2387085	8	0	3097714	3097714	6	0	3977790	3977790	5	0	8800281	8800281	4	0	9863604	9863604	3	0	9800512	9800512	0	0	9848932	9848932	3	0	12708505	12708505	5	0	15902483	15902483	4	0	13531128	13531128	6	0	22465717	22465717	4	0	28056604	28056604	11	1	26417825	26417825	4	2
Acala	1060307	1060307	17	2	1125400	1125400	15	3	967342	967342	8	1	2218642	2218642	10	4	3247309	3247309	16	8	2082818	2082818	10	4	3016020	3016020	7	3	4076378	4076378	15	3	5633679	5633679	17	1	6414858	6414858	11	3	8910107	8910107	8	1	0	0	16	2	32130621	32130621	19	4	32135743	32135743	18	2	35708726	35708726	11	0	43353238	43353238	12	0	60269728	60269728	15	0	57543285	57543285	8	0	55887729	55887729	8	0	72841507	72841507	15	1	61442645	61442645	17	2
